,Model,Displ,Fuel,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,CityKML,HwyKML,CmbKML
328,MERCEDES-BENZ S450 4Matic,3.0,Gasoline,18.0,28.0,22.0,4,7.65252,11.903920000000001,9.35308
329,MERCEDES-BENZ SL450,3.0,Gasoline,20.0,28.0,23.0,5,8.5028,11.903920000000001,9.778220000000001
330,MERCEDES-BENZ SL550,4.7,Gasoline,17.0,25.0,20.0,4,7.22738,10.6285,8.5028
331,MERCEDES-BENZ SLC300,2.0,Gasoline,23.0,32.0,27.0,6,9.778220000000001,13.60448,11.47878
332,MINI Cooper Clubman All4,1.5,Gasoline,22.0,32.0,26.0,5,9.35308,13.60448,11.05364
333,MINI Cooper Clubman All4,1.5,Gasoline,23.0,31.0,26.0,5,9.778220000000001,13.17934,11.05364
334,MINI Cooper Countryman,1.5,Gasoline,24.0,33.0,28.0,6,10.20336,14.029620000000001,11.903920000000001
335,MINI Cooper Countryman,1.5,Gasoline,24.0,32.0,27.0,6,10.20336,13.60448,11.47878
336,MINI Cooper Countryman All4,1.5,Gasoline,22.0,32.0,26.0,5,9.35308,13.60448,11.05364
337,MINI Cooper Countryman All4,1.5,Gasoline,23.0,30.0,25.0,5,9.778220000000001,12.7542,10.6285
338,MINI JCW Countryman All4,2.0,Gasoline,21.0,30.0,24.0,5,8.92794,12.7542,10.20336
339,MINI JCW Countryman All4,2.0,Gasoline,22.0,30.0,25.0,5,9.35308,12.7542,10.6285
340,MINI John Cooper Works Clubman All4,2.0,Gasoline,21.0,30.0,24.0,5,8.92794,12.7542,10.20336
341,MINI John Cooper Works Clubman All4,2.0,Gasoline,23.0,31.0,26.0,5,9.778220000000001,13.17934,11.05364
342,MINI John Cooper Works Convertible,2.0,Gasoline,22.0,31.0,25.0,5,9.35308,13.17934,10.6285
343,MINI John Cooper Works Convertible,2.0,Gasoline,25.0,33.0,28.0,6,10.6285,14.029620000000001,11.903920000000001
344,MINI John Cooper Works Hardtop,2.0,Gasoline,23.0,32.0,26.0,5,9.778220000000001,13.60448,11.05364
345,MINI John Cooper Works Hardtop,2.0,Gasoline,25.0,32.0,28.0,6,10.6285,13.60448,11.903920000000001
346,NISSAN 370Z,3.7,Gasoline,17.0,26.0,20.0,4,7.22738,11.05364,8.5028
347,NISSAN 370Z,3.7,Gasoline,19.0,26.0,22.0,4,8.07766,11.05364,9.35308
348,NISSAN 370Z Roadster,3.7,Gasoline,18.0,25.0,21.0,4,7.65252,10.6285,8.92794
349,NISSAN Armada,5.6,Gasoline,14.0,19.0,16.0,2,5.951960000000001,8.07766,6.80224
350,NISSAN Armada,5.6,Gasoline,13.0,18.0,15.0,2,5.52682,7.65252,6.3771
351,NISSAN Frontier,2.5,Gasoline,17.0,22.0,19.0,3,7.22738,9.35308,8.07766
352,NISSAN Frontier,2.5,Gasoline,19.0,23.0,21.0,4,8.07766,9.778220000000001,8.92794
353,NISSAN Frontier,4.0,Gasoline,16.0,23.0,19.0,3,6.80224,9.778220000000001,8.07766
354,NISSAN Frontier,4.0,Gasoline,15.0,21.0,17.0,3,6.3771,8.92794,7.22738
355,NISSAN Frontier,4.0,Gasoline,16.0,22.0,19.0,3,6.80224,9.35308,8.07766
356,NISSAN Frontier,4.0,Gasoline,16.0,21.0,18.0,3,6.80224,8.92794,7.65252
357,NISSAN GT-R,3.8,Gasoline,16.0,22.0,18.0,3,6.80224,9.35308,7.65252
358,NISSAN Maxima,3.5,Gasoline,20.0,30.0,24.0,5,8.5028,12.7542,10.20336
359,NISSAN NV200,2.0,Gasoline,24.0,26.0,25.0,5,10.20336,11.05364,10.6285
360,NISSAN NV200,2.0,Gasoline,23.0,26.0,24.0,5,9.778220000000001,11.05364,10.20336
361,NISSAN Pathfinder 4WD Platinum,3.5,Gasoline,19.0,26.0,21.0,4,8.07766,11.05364,8.92794
362,NISSAN Rogue Hybrid,2.0,Gasoline,33.0,35.0,34.0,8,14.029620000000001,14.879900000000001,14.45476
363,NISSAN Rogue Hybrid,2.0,Gasoline,31.0,34.0,33.0,8,13.17934,14.45476,14.029620000000001
364,NISSAN Sentra,1.6,Gasoline,27.0,33.0,29.0,6,11.47878,14.029620000000001,12.32906
365,NISSAN Sentra Nismo,1.6,Gasoline,25.0,31.0,27.0,6,10.6285,13.17934,11.47878
366,NISSAN Sentra Nismo,1.6,Gasoline,25.0,30.0,27.0,6,10.6285,12.7542,11.47878
367,NISSAN Titan,5.6,Gasoline,15.0,21.0,18.0,3,6.3771,8.92794,7.65252
368,NISSAN Titan,5.6,Gasoline,15.0,21.0,18.0,3,6.3771,8.92794,7.65252
369,NISSAN Titan Pro-4X,5.6,Gasoline,15.0,20.0,17.0,3,6.3771,8.5028,7.22738
370,NISSAN Versa,1.6,Gasoline,31.0,39.0,34.0,8,13.17934,16.580460000000002,14.45476
371,NISSAN Versa,1.6,Gasoline,27.0,36.0,30.0,7,11.47878,15.30504,12.7542
372,PORSCHE Boxster,2.0,Gasoline,22.0,29.0,25.0,5,9.35308,12.32906,10.6285
373,PORSCHE Boxster,2.0,Gasoline,21.0,28.0,24.0,5,8.92794,11.903920000000001,10.20336
374,PORSCHE Boxster GTS,2.5,Gasoline,20.0,26.0,22.0,4,8.5028,11.05364,9.35308
375,PORSCHE Boxster GTS,2.5,Gasoline,19.0,25.0,21.0,4,8.07766,10.6285,8.92794
376,PORSCHE Boxster S,2.5,Gasoline,21.0,28.0,24.0,5,8.92794,11.903920000000001,10.20336
377,PORSCHE Boxster S,2.5,Gasoline,20.0,26.0,22.0,4,8.5028,11.05364,9.35308
378,PORSCHE Cayenne Turbo,4.0,Gasoline,15.0,19.0,17.0,3,6.3771,8.07766,7.22738
379,PORSCHE Cayman,2.0,Gasoline,22.0,29.0,25.0,5,9.35308,12.32906,10.6285
